Order Date,Sales,Anomaly,Possible Reason
2015-01-04,304.508,-1,"Possible supply shortage, reduced customer demand or operational issue."
2015-02-22,224.912,-1,"Possible supply shortage, reduced customer demand or operational issue."
2015-03-22,37703.665,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2015-09-13,29959.137,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2016-01-24,358.522,-1,"Possible supply shortage, reduced customer demand or operational issue."
2017-10-08,28412.098,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2017-11-26,27367.716,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2017-12-17,25449.8,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2018-11-04,29017.467,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2018-11-18,30572.447,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
2018-12-02,35998.9,-1,"Possible festive sale, promotional campaign or seasonal demand spike."
